TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_15-48-54-040,4.5346,12050,9.3042,2.3427,2.4714,3,0,38,4.489,0,0,0,0
2026-01-07_15-48-55-046,1.0393,12045,10.8011,1.8954,2.3941,3,0,39,1.9951,0,0,0,0
2026-01-07_15-48-56-051,2.6534,12042,11.3517,2.1946,2.3941,4,0,38,4.5888,0,0,0,0
2026-01-07_15-48-57-060,3.3017,12049,9.6162,1.8954,2.3941,4,0,38,4.489,0,0,0,0
2026-01-07_15-48-58-073,0.7009,12046,6.962,1.0973,2.3941,3,0,37,1.7956,0,0,0,0
2026-01-07_15-48-59-079,4.2938,12037,10.2423,2.0736,2.3941,3,0,37,2.0949,0,0,0,0
2026-01-07_15-49-00-094,1.5539,12043,11.4437,1.7959,2.3941,4,0,37,1.8954,0,0,0,0
2026-01-07_15-49-01-092,3.2809,12039,11.4437,1.7959,2.3941,4,0,37,1.8954,0,0,0,0
2026-01-07_15-49-02-112,2.2518,12035,7.3834,1.6959,2.3941,3,0,38,2.3941,0,0,0,0
2026-01-07_15-49-03-117,2.4322,12037,7.0139,2.0949,2.3941,3,0,38,2.4939,0,0,0,0
2026-01-07_15-49-04-123,2.7691,12046,7.384,1.2968,2.3941,3,0,37,4.5888,0,0,0,0
2026-01-07_15-49-05-133,5.4621,12036,40.4952,5.2277,2.9522,3,0,55,4.9878,0,0,0,0
2026-01-07_15-49-06-142,2.5178,12033,64.952,5.7815,3.3216,5,0,59,4.489,0,0,0,0
2026-01-07_15-49-07-151,4.7761,12044,67.9897,5.6704,2.4209,5,0,60,4.5888,0,0,0,0
2026-01-07_15-49-08-163,89.0523,12183,183.0697,5.6704,2.4209,5,0,60,4.489,0,0,0,0
2026-01-07_15-49-09-173,100,12183,305.9907,5.2871,4.2895,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-10-175,100,12183,309.5572,5.4719,4.3763,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-11-178,100,12185,291.8332,5.4866,4.4197,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-12-187,100,12186,304.9454,5.3524,4.3407,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-13-195,100,12185,270.9407,5.4819,4.3886,24,1,90,4.489,0,0,0,0
2026-01-07_15-49-14-206,100,12186,270.9407,5.4819,4.3886,24,1,90,4.489,0,0,0,0
2026-01-07_15-49-15-219,100,12186,256.344,5.3985,4.303,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-16-218,100,12185,297.3016,5.4606,4.3716,24,1,97,4.489,0,0,0,0
2026-01-07_15-49-17-225,100,12186,282.4695,5.3868,4.3192,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-18-236,100,12186,284.7308,5.4866,4.4722,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-19-243,100,12186,261.9912,5.3868,4.3178,24,1,100,4.489,0,1,0,0
2026-01-07_15-49-20-251,100,12185,265.04,5.3868,4.3147,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-21-260,100,12186,268.1048,5.3675,4.2964,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-22-267,100,12186,291.1292,5.1873,4.2895,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-23-275,100,12186,307.1349,5.1873,4.2895,24,1,95,4.489,0,0,0,0
2026-01-07_15-49-24-282,100,12186,267.3026,5.4658,4.3706,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-25-289,100,12186,274.7152,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-26-298,100,12186,275.6807,5.4277,4.3593,24,1,99,4.489,0,0,0,0
2026-01-07_15-49-27-303,100,12187,245.8182,4.9878,4.09,24,1,97,4.489,0,0,0,0
2026-01-07_15-49-28-312,100,12186,245.8182,4.9878,4.09,24,1,97,4.489,0,0,0,0
2026-01-07_15-49-29-321,100,12186,253.7637,5.4658,4.368,24,1,92,4.489,0,0,0,0
2026-01-07_15-49-30-335,100,12186,284.3261,5.3014,4.2528,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-31-336,100,12186,243.4383,5.1873,4.2895,24,1,96,3.1922,0,0,0,0
2026-01-07_15-49-32-345,100,12187,291.3966,5.0876,4.1898,24,1,93,4.489,0,0,0,0
2026-01-07_15-49-33-352,100,12247,287.7329,5.3208,4.2611,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-34-358,100,12248,266.004,5.4139,4.3517,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-35-368,100,12248,261.9345,5.2805,4.2355,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-36-376,100,12247,262.3089,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-37-382,100,12248,258.1309,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-38-389,100,12248,267.7272,5.2871,4.2654,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-39-400,100,12248,274.6938,5.3171,4.2452,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-40-403,100,12248,279.4337,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-41-411,100,12247,255.3208,5.2871,4.2895,24,1,92,4.2895,0,0,0,0
2026-01-07_15-49-42-422,99.9517,12248,255.3208,5.2871,4.2895,24,1,92,4.2895,0,0,0,0
2026-01-07_15-49-43-429,100,12247,263.2922,5.1873,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-44-438,100,12247,254.8946,5.1873,4.2895,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-45-444,100,12247,267.2189,5.2871,4.2895,24,1,93,4.489,0,0,0,0
2026-01-07_15-49-46-453,100,12247,276.4251,5.0876,4.261,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-47-463,100,12246,267.574,5.3515,4.2905,24,1,95,4.489,0,0,0,0
2026-01-07_15-49-48-468,100,12245,261.9924,4.9878,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-49-478,100,12246,256.3516,4.9878,4.09,24,1,96,4.489,0,0,0,0
2026-01-07_15-49-50-484,100,12246,252.8989,5.0876,4.1898,24,1,95,4.489,0,0,0,0
2026-01-07_15-49-51-492,100,12246,259.7251,5.1873,4.249,24,1,98,4.3893,0,0,0,0
2026-01-07_15-49-52-502,100,12245,258.1296,5.1873,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-53-510,100,12232,250.4061,5.3549,4.2944,24,1,95,4.489,0,0,0,0
2026-01-07_15-49-54-517,100,12233,269.8327,5.3068,4.2607,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-55-525,100,12232,292.4821,5.1873,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-56-536,100,12232,292.4821,5.1873,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-57-542,100,12231,270.1155,5.2439,4.2238,24,1,98,4.489,0,0,0,0
2026-01-07_15-49-58-549,100,12232,282.3681,5.1873,4.2726,24,1,100,4.489,0,0,0,0
2026-01-07_15-49-59-558,100,12232,256.6189,5.2707,4.2617,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-00-563,100,12234,283.4279,5.1873,4.2684,24,1,98,4.3893,0,0,0,0
2026-01-07_15-50-01-568,100,12233,258.7983,5.2871,4.2895,24,1,93,4.489,0,0,0,0
2026-01-07_15-50-02-575,100,12232,236.7471,5.1873,4.2164,24,1,95,4.489,0,0,0,0
2026-01-07_15-50-03-584,100,12188,274.5029,4.9878,4.09,24,1,98,4.2895,0,0,0,0
2026-01-07_15-50-04-595,100,12187,276.9804,5.2578,4.2174,24,1,98,4.489,0,0,0,0
2026-01-07_15-50-05-604,100,12186,234.9112,5.3487,4.306,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-06-613,100,12186,256.2836,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-07-617,100,12186,277.8694,5.0876,4.1898,24,1,93,4.489,0,0,0,0
2026-01-07_15-50-08-625,100,12185,261.4147,5.238,4.2524,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-09-632,100,12186,271.8233,5.2871,4.237,24,1,98,4.489,0,0,0,0
2026-01-07_15-50-10-638,100,12186,271.8233,5.2871,4.237,24,1,98,4.489,0,0,0,0
2026-01-07_15-50-11-647,100,12186,271.3057,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-12-653,100,12185,250.6929,5.2632,4.218,24,1,97,4.489,0,0,0,0
2026-01-07_15-50-13-662,100,12184,266.4223,5.1873,4.2895,24,1,98,4.2895,0,1,0,0
2026-01-07_15-50-14-672,100,12183,274.9349,5.3127,4.2757,24,1,100,4.489,0,0,0,0
2026-01-07_15-50-15-676,100,12184,245.2471,5.3091,4.2454,24,1,100,4.489,0,0,0,0
