TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_15-58-44-089,100,11955,284.2814,4.7883,3.9902,24,1,100,4.2895,0,1,0,0
2026-01-07_15-58-45-097,100,11956,266.678,4.888,4.0212,24,1,98,4.489,0,0,0,0
2026-01-07_15-58-46-102,100,11956,284.8767,4.9878,4.0095,24,1,97,4.2895,0,0,0,0
2026-01-07_15-58-47-107,100,11956,265.1316,5.1402,4.0232,24,1,95,4.2895,0,0,0,0
2026-01-07_15-58-48-124,100,11955,275.0255,5.1203,4.0073,24,1,95,4.489,0,0,0,0
2026-01-07_15-58-49-124,100,11956,267.1899,4.7883,4.0035,24,1,98,4.489,0,0,0,0
2026-01-07_15-58-50-135,100,11956,267.1899,4.7883,4.0035,24,1,98,4.489,0,0,0,0
2026-01-07_15-58-51-142,100,11956,296.878,4.7883,3.9902,24,1,100,4.1898,0,1,0,0
2026-01-07_15-58-52-145,100,11955,261.5217,4.9878,4.0125,24,1,99,4.2895,0,0,0,0
2026-01-07_15-58-53-153,100,11953,269.1504,4.7883,3.9902,24,1,100,4.489,0,1,0,0
2026-01-07_15-58-54-159,100,11952,283.8361,5.1249,4.0193,24,1,95,4.489,0,1,0,0
2026-01-07_15-58-55-171,100,11952,250.2613,5.1033,3.9975,24,1,94,4.2895,0,0,0,0
2026-01-07_15-58-56-178,100,11952,276.9999,5.1205,4.0033,24,1,93,4.2895,0,1,0,0
2026-01-07_15-58-57-188,100,11951,286.7698,4.7883,3.9902,24,1,100,4.489,0,0,0,0
2026-01-07_15-58-58-197,100,11951,254.6552,4.888,4.0102,24,1,100,4.489,0,0,0,0
2026-01-07_15-58-59-210,100,11952,264.7416,4.888,3.9977,24,1,97,4.1898,0,0,0,0
2026-01-07_15-59-00-205,100,11955,254.1568,5.099,3.9998,24,1,93,4.489,0,0,0,0
2026-01-07_15-59-01-214,100,11955,254.1568,5.099,3.9998,24,1,93,4.489,0,0,0,0
2026-01-07_15-59-02-233,100,11953,272.1827,4.888,3.998,24,1,100,4.3893,0,0,0,0
2026-01-07_15-59-03-235,100,11953,288.7913,4.9878,4.0019,24,1,99,4.3893,0,1,0,0
2026-01-07_15-59-04-235,100,11952,285.9389,4.9878,4,24,1,98,4.2895,0,0,0,0
2026-01-07_15-59-05-244,100,11951,271.1713,4.9878,4,24,1,98,4.489,0,0,0,0
2026-01-07_15-59-06-245,100,11952,262.708,4.489,3.8905,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-07-263,100,11951,268.3678,5.1053,4.0013,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-08-260,100,11951,241.2094,4.888,4.0089,24,1,98,4.2895,0,0,0,0
2026-01-07_15-59-09-267,100,11951,258.1064,5.0941,3.997,24,1,97,4.489,0,0,0,0
2026-01-07_15-59-10-272,100,11951,268.5391,5.0912,3.9905,24,1,98,4.1898,0,0,0,0
2026-01-07_15-59-11-293,100,11952,271.3419,4.9878,4.0004,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-12-310,100,11952,269.1428,5.0982,4.0071,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-13-290,100,11952,269.1428,5.0982,4.0071,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-14-306,100,11952,277.5241,5.094,3.9908,24,1,95,4.2895,0,0,0,0
2026-01-07_15-59-15-318,100,11952,275.7865,5.0875,3.9902,24,1,96,4.489,0,0,0,0
2026-01-07_15-59-16-326,100,11952,255.243,4.5888,3.8905,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-17-337,100,11951,258.7208,4.7883,3.9902,24,1,93,4.1898,0,1,0,0
2026-01-07_15-59-18-338,100,11952,263.1463,5.0949,4.0027,24,1,96,4.2895,0,0,0,0
2026-01-07_15-59-19-347,100,11952,276.7671,5.0618,3.9736,24,1,93,4.489,0,0,0,0
2026-01-07_15-59-20-354,100,11952,283.0141,4.888,3.9788,24,1,96,4.489,0,0,0,0
2026-01-07_15-59-21-366,100,11953,246.9663,4.7883,3.9902,24,1,100,4.2895,0,0,0,0
2026-01-07_15-59-22-371,100,11953,266.9685,4.888,3.9947,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-23-375,100,11953,270.8355,5.0883,3.9949,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-24-379,100,11953,249.426,4.888,3.9749,24,1,100,4.1898,0,0,0,0
