TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_15-40-48-916,3.7476,12581,10.7113,1.3966,2.3941,3,0,35,1.7956,0,0,0,0
2026-01-07_15-40-49-921,1.8102,12571,8.7454,1.3966,2.3941,5,0,36,1.7956,0,0,0,0
2026-01-07_15-40-50-931,2.9023,12571,7.8194,2.4663,2.6544,3,0,35,1.7956,0,0,0,0
2026-01-07_15-40-51-946,1.9044,12571,7.8194,2.4663,2.6544,3,0,35,1.7956,0,0,0,0
2026-01-07_15-40-52-956,2.021,12576,7.4265,1.9951,2.3941,3,0,43,1.7956,0,0,0,0
2026-01-07_15-40-53-957,3.1314,12571,8.79,1.5961,2.3941,1,0,35,0.798,0,0,0,0
2026-01-07_15-40-54-968,2.7575,12570,9.5619,2.3941,2.3941,3,0,35,0.798,0,0,0,0
2026-01-07_15-40-55-969,4.6438,12566,20.8328,1.0973,2.3941,3,0,36,4.9878,0,0,0,0
2026-01-07_15-40-56-980,4.1839,12558,65.0782,4.9686,2.5675,7,0,58,4.5888,0,0,0,0
2026-01-07_15-40-57-989,4.1691,12556,63.221,5.7309,3.7605,4,0,44,4.5888,0,0,0,0
2026-01-07_15-40-59-001,6.898,12502,56.8657,5.7858,2.4649,4,0,59,4.489,0,0,0,0
2026-01-07_15-41-00-010,2.2971,12499,66.5982,5.7817,2.3941,3,0,73,4.489,0,0,0,0
2026-01-07_15-41-01-021,66.4559,12647,163.3885,5.7332,3.3462,4,0,64,4.489,0,0,0,0
2026-01-07_15-41-02-029,100,12637,302.8006,5.5863,4.4465,24,1,97,4.489,0,1,0,0
2026-01-07_15-41-03-036,100,12634,319.3712,5.5126,4.3971,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-04-051,100,12620,302.0768,5.513,4.414,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-05-058,100,12619,302.0768,5.513,4.414,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-06-059,99.9514,12618,301.7387,5.3868,4.3533,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-07-071,100,12618,302.855,5.5353,4.4141,24,1,87,4.489,0,0,0,0
2026-01-07_15-41-08-082,100,12613,294.1224,5.4387,4.3378,24,1,97,4.489,0,1,0,0
2026-01-07_15-41-09-088,100,12611,274.112,5.3868,4.3893,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-10-095,100,12611,279.3768,5.4219,4.319,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-11-103,100,12611,269.0576,5.0876,4.1898,24,1,87,4.489,0,0,0,0
2026-01-07_15-41-12-110,100,12606,302.6764,5.4757,4.3558,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-13-116,100,12605,284.1542,5.4762,4.382,24,1,95,4.489,0,0,0,0
2026-01-07_15-41-14-126,100,12603,291.8535,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-15-133,100,12598,288.9758,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-16-140,100,12597,296.7499,5.3868,4.3308,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-17-147,100,12595,272.5237,5.4866,4.3983,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-18-155,100,12596,271.9949,5.4102,4.3219,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-19-164,100,12595,262.872,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-20-172,100,12595,262.872,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-21-179,100,12595,290.1686,5.3868,4.35,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-22-187,100,12599,263.6159,5.4747,4.3807,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-23-193,100,12599,285.4589,5.4614,4.3322,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-24-201,100,12599,308.4524,5.1873,4.2895,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-25-214,100,12600,259.9938,5.0876,4.1898,24,1,88,4.489,0,0,0,0
2026-01-07_15-41-26-218,99.9514,12600,289.2863,5.436,4.3198,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-27-228,100,12590,252.1622,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-28-232,100,12588,302.6798,5.4967,4.3974,24,1,91,4.489,0,0,0,0
2026-01-07_15-41-29-239,100,12589,280.0016,5.1873,4.2895,24,1,100,4.489,0,1,0,0
2026-01-07_15-41-30-247,99.9516,12588,246.6722,4.888,4.09,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-31-258,100,12587,276.5938,5.4482,4.3614,24,1,96,4.489,0,0,0,0
2026-01-07_15-41-32-263,100,12587,264.3855,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-33-267,100,12586,256.8533,5.3868,4.3171,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-34-282,100,12587,256.8533,5.3868,4.3171,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-35-284,100,12584,258.177,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-36-293,100,12584,284.0614,5.3868,4.3451,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-37-301,100,12584,299.9364,5.1873,4.2895,24,1,95,4.489,0,0,0,0
2026-01-07_15-41-38-307,100,12584,258.9827,5.3883,4.2964,24,1,95,4.489,0,0,0,0
2026-01-07_15-41-39-317,100,12581,283.6014,5.4215,4.3655,24,1,97,4.489,0,0,0,0
2026-01-07_15-41-40-324,100,12582,250.9109,5.1873,4.2806,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-41-330,100,12582,277.7501,5.432,4.3506,24,1,93,4.489,0,0,0,0
2026-01-07_15-41-42-345,100,12582,288.6868,5.3934,4.3379,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-43-345,100,12582,286.475,5.3699,4.2827,24,1,93,4.489,0,0,0,0
2026-01-07_15-41-44-353,100,12581,265.0057,5.2871,4.2542,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-45-362,100,12581,277.8744,4.888,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-46-373,100,12581,267.4998,5.4259,4.3548,24,1,96,4.489,0,0,0,0
2026-01-07_15-41-47-381,100,12580,271.3572,4.9878,4.09,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-48-390,100,12580,268.3397,5.3828,4.3244,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-49-398,100,12580,268.3397,5.3828,4.3244,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-50-406,100,12580,269.6135,5.1873,4.2547,24,1,97,4.489,0,0,0,0
2026-01-07_15-41-51-415,100,12579,270.7835,5.3868,4.3114,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-52-423,100,12579,259.5327,5.3855,4.305,24,1,93,4.489,0,0,0,0
2026-01-07_15-41-53-429,100,12578,266.8083,5.2883,4.2421,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-54-438,100,12579,287.4014,5.2883,4.2421,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-55-441,100,12578,275.5833,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-41-56-449,100,12576,269.7001,5.2871,4.2895,24,1,96,4.489,0,0,0,0
2026-01-07_15-41-57-456,100,12576,270.3479,5.352,4.2658,24,1,97,4.489,0,0,0,0
2026-01-07_15-41-58-467,100,12573,266.3557,5.3637,4.2797,24,1,98,4.489,0,0,0,0
2026-01-07_15-41-59-475,100,12576,267.0301,5.1873,4.2459,24,1,97,4.489,0,0,0,0
2026-01-07_15-42-00-483,100,12576,266.4122,5.2871,4.2456,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-01-490,100,12576,252.5223,5.1873,4.2895,24,1,99,4.489,0,0,0,0
2026-01-07_15-42-02-494,100,12583,269.9426,5.3489,4.2961,24,1,95,4.489,0,0,0,0
2026-01-07_15-42-03-507,100,12583,269.9426,5.3489,4.2961,24,1,95,4.489,0,0,0,0
2026-01-07_15-42-04-508,100,12582,284.1276,4.9878,4.1898,24,1,100,4.3893,0,0,0,0
2026-01-07_15-42-05-517,100,12581,242.6405,4.9878,4.09,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-06-520,99.9514,12580,259.0753,4.888,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-07-528,100,12580,278.1732,5.3512,4.3025,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-08-533,100,12580,267.9406,4.9878,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-09-540,100,12580,278.177,5.3868,4.3432,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-10-546,100,12575,299.611,5.2735,4.2492,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-11-554,100,12574,267.1635,5.3359,4.2847,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-12-563,100,12573,250.7448,5.3404,4.3065,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-13-568,100,12572,263.919,5.3054,4.2439,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-14-576,100,12571,267.3038,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-15-584,100,12571,250.3003,5.3117,4.2918,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-16-589,100,12571,258.0375,5.3266,4.291,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-17-597,100,12570,258.0375,5.3266,4.291,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-18-603,100,12568,271.3696,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-19-611,100,12568,236.6026,5.0876,4.1898,24,1,100,4.2895,0,0,0,0
2026-01-07_15-42-20-618,100,12567,281.8298,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-21-629,100,12566,258.1224,4.9878,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-22-633,100,12564,252.6069,5.0876,4.1898,24,1,100,4.2895,0,0,0,0
2026-01-07_15-42-23-638,100,12564,261.297,5.3152,4.2482,24,1,95,4.489,0,0,0,0
2026-01-07_15-42-24-648,100,12564,251.9169,5.2627,4.2567,24,1,95,4.3893,0,0,0,0
2026-01-07_15-42-25-660,100,12564,246.8085,5.2912,4.2489,24,1,97,4.489,0,0,0,0
2026-01-07_15-42-26-663,100,12575,243.6746,4.888,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-27-671,100,12576,247.7503,5.2553,4.2358,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-28-681,100,12614,262.1344,5.2871,4.2895,24,1,98,4.2895,0,0,0,0
2026-01-07_15-42-29-686,100,12612,253.0478,5.2871,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-30-692,100,12612,266.3542,5.0876,4.1898,24,1,100,4.1898,0,0,0,0
2026-01-07_15-42-31-699,100,12674,266.3542,5.0876,4.1898,24,1,100,4.1898,0,0,0,0
2026-01-07_15-42-32-712,100,12659,263.7399,4.7883,3.9902,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-33-717,100,12657,248.999,5.1873,4.2411,24,1,97,4.489,0,0,0,0
2026-01-07_15-42-34-728,100,12656,264.9652,4.888,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-35-729,100,12657,270.1879,5.0876,4.2895,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-36-735,100,12655,265.4235,5.337,4.2826,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-37-744,100,12655,252.3848,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-38-752,100,12654,251.0807,4.888,4.09,24,1,95,4.489,0,0,0,0
2026-01-07_15-42-39-760,100,12653,266.2345,5.2328,4.2122,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-40-768,100,12653,295.4953,5.2871,4.2819,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-41-776,100,12653,240.3497,5.0876,4.1898,24,1,97,4.489,0,0,0,0
2026-01-07_15-42-42-784,100,12652,287.596,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-43-791,100,12651,253.3863,5.2769,4.2743,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-44-797,100,12650,238.9696,5.2414,4.1977,24,1,99,4.489,0,0,0,0
2026-01-07_15-42-45-807,100,12650,261.368,5.3338,4.3017,24,1,96,4.489,0,0,0,0
2026-01-07_15-42-46-814,100,12650,261.368,5.3338,4.3017,24,1,96,4.489,0,0,0,0
2026-01-07_15-42-47-824,100,12649,249.6781,5.2937,4.2787,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-48-831,100,12649,261.8366,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-49-840,100,12648,249.3384,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-50-845,100,12648,260.565,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-51-854,100,12634,247.0197,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-52-862,100,12631,259.1732,5.2455,4.2431,24,1,98,4.2895,0,0,0,0
2026-01-07_15-42-53-868,100,12629,250.3671,5.2199,4.1994,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-54-874,100,12628,249.3306,5.0876,4.1898,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-55-883,100,12628,250.71,5.3005,4.2602,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-56-890,100,12627,249.4093,4.9878,4.2158,24,1,91,4.489,0,0,0,0
2026-01-07_15-42-57-898,100,12627,243.252,5.0876,4.1898,24,1,98,4.489,0,0,0,0
2026-01-07_15-42-58-907,100,12626,226.2579,4.9878,4.09,24,1,100,4.489,0,0,0,0
2026-01-07_15-42-59-916,100,12619,258.0788,5.2674,4.2254,24,1,96,4.489,0,0,0,0
2026-01-07_15-43-00-923,48.6727,12479,183.4397,5.4031,4.2925,24,1,82,4.5888,0,0,0,0
2026-01-07_15-43-01-932,3.7977,12429,183.4397,5.4031,4.2925,24,1,82,4.5888,0,0,0,0
2026-01-07_15-43-02-939,3.4366,12421,70.8186,5.5747,2.3941,4,1,64,4.5888,0,0,0,0
2026-01-07_15-43-03-949,4.1702,12434,70.8019,5.6861,3.8214,4,0,72,4.5888,0,0,0,0
2026-01-07_15-43-04-958,5.1465,12449,62.185,5.6729,3.5679,4,0,81,4.5888,0,0,0,0
2026-01-07_15-43-05-965,5.0326,12443,68.1073,5.6181,2.9719,7,0,64,4.489,0,0,0,0
2026-01-07_15-43-06-974,4.8328,12437,58.2742,5.6691,3.4068,7,0,77,4.5888,0,0,0,0
2026-01-07_15-43-07-984,4.2071,12440,63.8244,5.6691,3.4068,5,0,77,4.9878,0,0,0,0
2026-01-07_15-43-08-995,3.1592,12438,59.1924,5.5747,4.0129,4,0,61,4.489,0,0,0,0
2026-01-07_15-43-10-004,4.9923,12437,61.8291,5.6047,2.3941,4,0,71,4.5888,0,0,0,0
2026-01-07_15-43-11-013,5.2736,12432,61.1538,5.6771,3.927,4,0,84,4.5888,0,0,0,0
2026-01-07_15-43-12-018,2.7128,12427,66.295,5.6034,3.9483,4,0,89,4.5888,0,0,0,0
2026-01-07_15-43-13-028,4.7512,12432,64.2492,5.6433,2.8556,4,0,88,4.5888,0,0,0,0
2026-01-07_15-43-14-039,4.2704,12428,64.2492,5.6433,2.8556,4,0,88,4.5888,0,0,0,0
2026-01-07_15-43-15-044,5.2588,12424,62.677,5.6834,3.7655,4,0,74,4.5888,0,0,0,0
2026-01-07_15-43-16-055,5.0743,12423,62.8837,5.5649,3.1527,4,0,73,4.9878,0,0,0,0
2026-01-07_15-43-17-067,2.167,12424,62.5362,5.6741,3.0349,4,0,76,4.5888,0,0,0,0
2026-01-07_15-43-18-076,3.915,12421,66.2637,5.6569,3.8062,4,0,82,4.5888,0,0,0,0
2026-01-07_15-43-19-083,4.9854,12416,63.4793,5.6861,4.0939,4,0,67,4.5888,0,0,0,0
2026-01-07_15-43-20-093,3.4011,12412,58.5983,5.6861,2.3941,4,0,69,4.5888,0,0,0,0
2026-01-07_15-43-21-102,3.6619,12416,61.9136,5.7551,3.5312,4,0,81,4.489,0,0,0,0
