TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-06_13-11-51-896,100,10442,252.3937,5.0876,3.981,24,1,100,4.489,1,0,0,0
2026-01-06_13-11-52-907,100,10443,252.7624,4.9878,3.9715,24,1,100,4.2895,1,0,0,0
2026-01-06_13-11-53-927,100,10442,252.4148,5.0939,3.9772,24,1,98,4.2895,1,0,0,0
2026-01-06_13-11-54-942,100,10442,251.9764,5.1062,3.9694,24,1,100,4.489,1,1,0,0
2026-01-06_13-11-55-973,100,10440,253.8256,4.9878,3.976,24,1,90,4.3893,1,0,0,0
2026-01-06_13-11-56-980,70.3055,10272,186.2358,4.888,3.9817,24,1,100,0.798,1,1,0,0
2026-01-06_13-11-57-992,5.5924,10269,186.2358,4.888,3.9817,24,1,100,0.798,1,1,0,0
2026-01-06_13-11-58-994,0.1997,10266,12.5154,1.6959,1.2968,24,1,51,1.7956,1,0,0,0
2026-01-06_13-12-00-009,9.1176,10265,9.0853,2.8061,1.041,5,0,49,1.5961,0,0,0,0
2026-01-06_13-12-01-012,1.6089,10275,7.999,2.2944,1.1967,6,0,47,0.798,0,0,0,0
2026-01-06_13-12-02-021,10.7276,10271,14.0973,2.697,1.1732,7,0,47,2.2944,0,0,0,0
2026-01-06_13-12-03-030,10.6924,10266,9.9902,1.0973,0.798,4,0,47,1.2968,0,0,0,0
2026-01-06_13-12-04-041,0,10270,8.9545,1.5916,1.0795,5,0,49,4.5888,0,0,0,0
2026-01-06_13-12-05-051,5.9564,10272,10.91,1.4669,1.1023,4,0,47,1.4963,0,0,0,0
2026-01-06_13-12-06-054,0,10272,9.4985,1.76,0.798,7,0,49,0.9976,0,0,0,0
2026-01-06_13-12-07-072,7.1594,10269,7.7169,1.4963,1.0701,5,0,47,3.691,0,0,0,0
2026-01-06_13-12-08-071,4.3212,10267,8.9142,1.7002,1.5961,6,0,47,1.4963,0,0,0,0
2026-01-06_13-12-09-082,9.6847,10264,8.9142,1.7002,1.5961,6,0,47,1.4963,0,0,0,0
2026-01-06_13-12-10-088,8.317,10270,7.4822,1.4963,1.2304,7,0,47,1.9951,0,0,0,0
2026-01-06_13-12-11-095,5.471,10268,10.3445,1.4963,0.9889,4,0,46,4.489,0,0,0,0
2026-01-06_13-12-12-110,0,10263,9.8955,1.9951,1.4963,7,0,46,0.798,0,0,0,0
2026-01-06_13-12-13-114,3.7156,10261,8.4582,2.3941,1.1363,5,0,46,1.6959,0,0,0,0
2026-01-06_13-12-14-128,13.1972,10266,8.7599,1.6959,1.0764,5,0,47,1.3966,0,0,0,0
2026-01-06_13-12-15-131,0,10263,11.5314,2.0058,1.4873,5,0,47,1.6959,0,0,0,0
2026-01-06_13-12-16-146,2.9428,10264,8.0931,3.7907,1.2424,6,0,47,0.798,0,0,0,0
2026-01-06_13-12-17-153,4.4644,10272,15.102,2.4543,1.5425,5,0,46,2.0949,0,0,0,0
2026-01-06_13-12-18-162,2.8136,10269,12.7771,1.3966,1.0973,3,0,47,1.0973,0,0,0,0
2026-01-06_13-12-19-169,5.8407,10280,19.023,2.9521,2.1548,8,0,46,1.5961,0,0,0,0
2026-01-06_13-12-20-178,13.4753,10270,9.6365,1.5961,1.0973,9,0,47,1.7956,0,0,0,0
2026-01-06_13-12-21-180,0,10274,16.4158,2.2629,2.163,6,0,47,1.7956,0,0,0,0
2026-01-06_13-12-22-191,96.4275,10451,16.4158,2.2629,2.163,6,0,46,4.489,0,0,0,0
2026-01-06_13-12-23-205,100,10450,248.4798,4.9878,3.9902,24,1,92,4.3893,1,0,0,0
2026-01-06_13-12-24-209,100,10451,252.1628,5.0876,3.9955,24,1,98,4.489,1,0,0,0
2026-01-06_13-12-25-224,100,10457,252.9728,4.9878,3.9931,24,1,89,4.489,1,0,0,0
2026-01-06_13-12-26-234,100,10476,252.853,5.122,4.0158,24,1,96,4.2895,1,1,0,0
2026-01-06_13-12-27-261,100,10479,1027768282625216.3161,5.1458,4.024,24,1,96,4.489,1,0,0,0
2026-01-06_13-12-28-273,100,10507,253.1129,5.1458,4.024,24,1,96,4.3893,1,0,0,0
2026-01-06_13-12-29-307,100,10531,252.7381,5.0876,3.9884,24,1,100,4.489,1,1,0,0
2026-01-06_13-12-30-308,100,10522,252.8088,5.1612,4.0298,24,1,98,4.1898,1,1,0,0
2026-01-06_13-12-31-332,100,10521,252.4542,5.1125,3.976,24,1,98,4.2895,1,1,0,0
2026-01-06_13-12-32-345,100,10518,252.4786,4.9878,3.9915,24,1,98,4.1898,1,0,0,0
2026-01-06_13-12-33-361,100,10517,252.4651,4.9878,3.9839,24,1,100,4.489,1,1,0,0
2026-01-06_13-12-34-376,100,10517,252.4711,4.9878,3.9902,24,1,95,4.489,1,1,0,0
2026-01-06_13-12-35-403,100,10517,252.4711,4.9878,3.9902,24,1,95,4.489,1,1,0,0
2026-01-06_13-12-36-429,100,10511,252.4339,5.1197,3.988,24,1,97,4.3893,1,1,0,0
2026-01-06_13-12-37-442,100,10511,252.4419,5.0876,3.9735,24,1,96,4.489,1,1,0,0
2026-01-06_13-12-38-473,100,10514,252.2259,5.0876,3.9979,24,1,90,4.3893,1,0,0,0
2026-01-06_13-12-39-497,100,10511,252.3865,4.9878,3.9897,24,1,100,4.3893,1,1,0,0
2026-01-06_13-12-40-511,100,10509,252.4495,4.9878,3.9894,24,1,97,3.8905,1,1,0,0
2026-01-06_13-12-41-526,100,10510,252.0513,5.1134,3.9754,24,1,98,4.489,1,0,0,0
2026-01-06_13-12-42-554,100,10509,253.2321,5.1075,3.9723,24,1,97,4.1898,1,1,0,0
2026-01-06_13-12-43-563,100,10511,252.7231,4.9878,3.9787,24,1,96,4.3893,1,1,0,0
2026-01-06_13-12-44-580,100,10511,251.9006,4.888,3.985,24,1,100,4.489,1,0,0,0
2026-01-06_13-12-45-610,100,10510,252.6674,4.888,3.9805,24,1,97,4.2895,1,1,0,0
2026-01-06_13-12-46-618,100,10510,253.1901,5.1181,3.9865,24,1,100,4.1898,1,0,0,0
2026-01-06_13-12-47-635,100,10509,252.4187,4.9878,3.9739,24,1,94,4.2895,1,0,0,0
