TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-06_16-11-08-063,1.3577,11331,11.0356,1.8962,0.798,5,0,46,2.8929,0,0,0,0
2026-01-06_16-11-09-073,0.6171,11331,4.6622,1.2616,0.8311,5,0,41,4.1898,0,0,0,0
2026-01-06_16-11-10-074,0,11332,6.129,1.7956,0.8865,3,0,41,0.8978,0,0,0,0
2026-01-06_16-11-11-083,84.9004,11504,138.1762,1.7956,0.8865,5,0,100,4.489,0,0,0,0
2026-01-06_16-11-12-096,100,11502,298.5197,5.1873,4.1306,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-13-107,100,11508,294.553,5.1873,4.1306,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-14-109,100,11506,289.2369,5.0876,4.0762,24,1,92,4.489,0,0,0,0
2026-01-06_16-11-15-113,100,11507,289.2369,5.0876,4.0762,24,1,92,4.489,0,0,0,0
2026-01-06_16-11-16-118,100,11509,284.539,5.2179,4.0618,24,1,100,4.1898,0,0,0,0
2026-01-06_16-11-17-133,100,11508,285.6802,5.0876,4.0718,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-18-151,100,11506,276.8111,5.0876,4.066,24,1,93,4.489,0,0,0,0
2026-01-06_16-11-19-142,100,11505,323.9343,5.1873,4.0571,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-20-160,100,11502,266.8414,4.9878,4.09,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-21-183,100,11501,290.9858,4.9878,4.0626,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-22-161,100,11504,270.92,4.888,4.0633,24,1,96,4.489,0,0,0,0
2026-01-06_16-11-23-167,100,11503,277.3797,5.0876,4.0626,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-24-180,100,11503,286.1126,5.2257,4.0579,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-25-190,100,11507,286.1126,5.2257,4.0579,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-26-190,100,11506,311.1652,5.0876,4.0816,24,1,98,4.3893,0,0,0,0
2026-01-06_16-11-27-194,100,11507,294.6108,4.9878,4.0479,24,1,93,4.2895,0,0,0,0
2026-01-06_16-11-28-204,100,11508,251.8424,5.0876,4.0574,24,1,98,4.489,0,0,0,0
2026-01-06_16-11-29-215,100,11506,279.8898,4.888,4.073,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-30-217,100,11505,249.7851,5.0876,4.0408,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-31-233,100,11496,270.7245,5.1818,4.044,24,1,98,4.489,0,0,0,0
2026-01-06_16-11-32-238,100,11494,285.1931,5.204,4.066,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-33-239,100,11494,275.1518,5.1873,4.0477,24,1,98,4.489,0,0,0,0
2026-01-06_16-11-34-249,100,11495,251.3721,5.0876,4.0292,24,1,91,4.489,0,0,0,0
2026-01-06_16-11-35-258,100,11494,288.7984,5.1699,4.0419,24,1,97,4.489,0,0,0,0
2026-01-06_16-11-36-259,100,11496,288.7984,5.1699,4.0419,24,1,97,4.489,0,0,0,0
2026-01-06_16-11-37-267,100,11500,258.6712,5.178,4.0526,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-38-278,100,11499,271.2753,5.0876,4.0327,24,1,97,4.489,0,0,0,0
2026-01-06_16-11-39-283,100,11499,280.3868,4.7883,4.0231,24,1,92,4.489,0,0,0,0
2026-01-06_16-11-40-289,100,11499,268.0717,5.0876,4.0363,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-41-301,100,11498,251.2347,5.1766,4.0523,24,1,100,4.2895,0,0,0,0
2026-01-06_16-11-42-307,100,11497,278.2902,4.9878,4.0273,24,1,98,4.2895,0,0,0,0
2026-01-06_16-11-43-317,100,11497,265.4691,4.888,4.0249,24,1,94,4.3893,0,0,0,0
2026-01-06_16-11-44-333,100,11495,274.5282,4.9878,4.0353,24,1,96,4.489,0,0,0,0
2026-01-06_16-11-45-326,100,11494,258.771,5.1577,4.0351,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-46-345,100,11496,274.9991,5.1565,4.051,24,1,100,4.2895,0,0,0,0
2026-01-06_16-11-47-349,100,11500,274.9991,5.1565,4.051,24,1,100,4.2895,0,0,0,0
2026-01-06_16-11-48-374,100,11501,265.5956,5.152,4.0415,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-49-393,100,11499,254.2341,5.1564,4.0403,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-50-407,100,11500,273.6608,5.1564,4.0403,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-51-434,100,11498,270.8486,5.0876,4.0167,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-52-448,100,11498,233.1931,4.9878,4.0338,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-53-471,100,11495,259.1106,4.9878,4.0001,24,1,100,4.2895,0,0,0,0
2026-01-06_16-11-54-483,100,11496,259.0805,4.9878,4.018,24,1,100,4.3893,0,0,0,0
2026-01-06_16-11-55-510,100,11496,281.3138,4.9878,4.0027,24,1,97,4.3893,0,0,0,0
2026-01-06_16-11-56-527,100,11500,270.2057,4.9878,4.0172,24,1,100,4.489,0,0,0,0
2026-01-06_16-11-57-536,100,11499,243.998,5.0876,4.0084,24,1,98,4.489,0,0,0,0
2026-01-06_16-11-58-550,100,11497,255.5159,4.9878,4.0058,24,1,93,4.489,0,0,0,0
2026-01-06_16-11-59-571,100,11501,262.4169,4.888,3.9949,24,1,98,4.3893,0,0,0,0
2026-01-06_16-12-00-592,100,11503,276.2633,5.1188,4.0106,24,1,100,4.489,0,0,0,0
2026-01-06_16-12-01-607,100,11500,276.2633,5.1188,4.0106,24,1,100,4.489,0,0,0,0
2026-01-06_16-12-02-617,100,11499,260.1526,4.888,3.9994,24,1,100,4.489,0,0,0,0
2026-01-06_16-12-03-642,100,11496,244.2176,4.888,4.0024,24,1,98,4.2895,0,0,0,0
2026-01-06_16-12-04-654,100,11494,256.7751,4.888,4.0006,24,1,93,4.2895,0,0,0,0
2026-01-06_16-12-05-668,100,11498,246.0684,4.9878,3.992,24,1,100,4.1898,0,0,0,0
2026-01-06_16-12-06-688,100,11497,272.0073,5.108,4.0101,24,1,100,4.489,0,0,0,0
2026-01-06_16-12-07-706,100,11496,260.6787,4.7883,3.9902,24,1,100,4.3893,0,0,0,0
2026-01-06_16-12-08-720,100,11498,287.3154,5.0961,4.0009,24,1,100,4.489,0,0,0,0
2026-01-06_16-12-09-754,100,11497,273.8596,4.888,4.0001,24,1,100,4.3893,0,0,0,0
2026-01-06_16-12-10-752,100,11493,257.1973,4.9878,3.9954,24,1,93,4.2895,0,0,0,0
2026-01-06_16-12-11-764,17.0438,11325,95.811,4.9878,3.9921,24,1,98,0.798,0,0,0,0
2026-01-06_16-12-12-768,0,11325,5.4194,0.8978,0.798,24,1,52,1.2968,0,0,0,0
2026-01-06_16-12-13-785,88.7269,11492,5.4194,0.8978,0.798,24,1,52,1.2968,0,0,0,0
2026-01-06_16-12-14-787,100,11498,260.9536,5.3868,4.1813,24,1,77,4.489,0,0,0,0
2026-01-06_16-12-15-794,100,11497,281.0675,5.2707,4.0949,24,1,98,4.489,0,0,0,0
2026-01-06_16-12-16-800,100,11500,236.5551,5.1189,4.013,24,1,100,4.2895,0,0,0,0
2026-01-06_16-12-17-806,100,11498,260.7245,4.9878,3.9897,24,1,98,4.489,0,0,0,0
2026-01-06_16-12-18-820,100,11496,253.7202,4.9878,3.9864,24,1,98,4.2895,0,0,0,0
2026-01-06_16-12-19-826,100,11495,262.6188,4.9878,3.9811,24,1,94,4.2895,0,0,0,0
2026-01-06_16-12-20-830,100,11493,273.219,5.0752,3.9809,24,1,100,4.2895,0,0,0,0
2026-01-06_16-12-21-836,100,11492,250.0865,5.081,3.9893,24,1,98,4.2895,0,0,0,0
2026-01-06_16-12-22-843,100,11491,243.4016,4.888,3.9839,24,1,98,4.489,0,0,0,0
2026-01-06_16-12-23-851,100,11491,243.6912,4.888,3.9825,24,1,95,4.489,0,0,0,0
2026-01-06_16-12-24-859,100,11491,243.6912,4.888,3.9825,24,1,95,4.489,0,0,0,0
2026-01-06_16-12-25-868,100,11492,254.2198,4.888,3.9825,24,1,100,4.2895,0,0,0,0
2026-01-06_16-12-26-870,100,11516,252.04,5.0603,3.9824,24,1,100,4.3893,0,0,0,0
2026-01-06_16-12-27-886,100,11517,259.0165,5.091,4.0031,24,1,100,4.2895,0,0,0,0
2026-01-06_16-12-28-880,100,11565,269.8669,5.0633,3.9878,24,1,100,4.2895,0,0,0,0
2026-01-06_16-12-29-883,100,11565,251.7729,5.0879,4.0011,24,1,100,4.3893,0,0,0,0
2026-01-06_16-12-30-893,100,11565,261.0322,5.082,3.9937,24,1,94,4.489,0,0,0,0
2026-01-06_16-12-31-903,100,11565,260.9122,5.0805,4.0018,24,1,100,4.3893,0,0,0,0
2026-01-06_16-12-32-900,100,11564,229.9114,4.888,3.9882,24,1,98,4.489,0,0,0,0
2026-01-06_16-12-33-913,100,11561,249.2309,4.888,3.9837,24,1,96,4.489,0,0,0,0
