TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-06_15-46-54-871,1.9648,11353,6.8385,1.4963,1.1971,2,0,40,0.798,0,0,0,0
2026-01-06_15-46-55-879,25.6502,11520,5.2433,1.1406,0.798,2,0,40,4.5888,0,0,0,0
2026-01-06_15-46-56-882,100,11519,184.4342,4.9878,4.0243,2,0,81,4.489,1,0,0,0
2026-01-06_15-46-57-887,100,11519,265.3879,5.0876,3.9986,24,0,91,3.8905,1,1,0,0
2026-01-06_15-46-58-904,100,11518,266.3831,4.9878,3.9819,24,0,88,4.2895,1,0,0,0
2026-01-06_15-46-59-908,100,11524,270.7808,4.9878,3.9819,24,0,88,4.489,1,0,0,0
2026-01-06_15-47-00-919,100,11523,261.8444,5.1532,3.9958,24,1,91,4.489,1,0,0,0
2026-01-06_15-47-01-920,100,11520,261.8444,5.1532,3.9958,24,1,91,4.489,1,0,0,0
2026-01-06_15-47-02-938,100,11518,240.009,4.9878,3.9934,24,1,94,4.09,1,0,0,0
2026-01-06_15-47-03-935,100,11515,245.7721,4.9878,3.9934,24,1,94,4.3893,1,0,0,0
2026-01-06_15-47-04-942,100,11517,256.8448,4.888,3.9721,24,1,95,4.1898,1,0,0,0
2026-01-06_15-47-05-953,100,11522,247.9974,4.9878,3.9846,24,1,83,4.3893,1,0,0,0
2026-01-06_15-47-06-967,100,11520,246.5322,5.0876,3.9811,24,1,95,4.489,1,1,0,0
2026-01-06_15-47-07-966,100,11519,247.8296,5.1585,3.9901,24,1,92,4.489,1,0,0,0
2026-01-06_15-47-08-979,100,11521,261.1625,4.9878,3.9876,24,1,91,4.2895,1,0,0,0
2026-01-06_15-47-09-985,100,11519,230.0446,4.9878,3.9803,24,1,87,4.3893,1,0,0,0
2026-01-06_15-47-10-991,100,11520,236.1368,5.1453,3.9944,24,1,90,4.489,1,0,0,0
2026-01-06_15-47-11-998,100,11519,240.705,5.1632,3.9933,24,1,91,4.3893,1,0,0,0
2026-01-06_15-47-13-011,100,11518,240.705,5.1632,3.9933,24,1,91,4.3893,1,0,0,0
2026-01-06_15-47-14-014,100,11518,256.9149,4.9878,3.9779,24,1,92,4.3893,1,1,0,0
2026-01-06_15-47-15-026,100,11517,257.111,4.9878,3.9768,24,1,92,4.489,1,0,0,0
2026-01-06_15-47-16-030,100,11517,238.069,5.1635,3.9884,24,1,88,4.489,1,0,0,0
2026-01-06_15-47-17-036,100,11515,244.5264,5.1613,3.9946,24,1,92,4.489,1,0,0,0
2026-01-06_15-47-18-050,100,11515,258.152,4.9878,3.9729,24,1,93,4.3893,1,0,0,0
2026-01-06_15-47-19-052,100,11522,248.5292,4.7883,3.971,24,1,85,4.2895,1,0,0,0
2026-01-06_15-47-20-060,100,11525,268.8415,4.9878,4.0001,24,1,85,4.3893,1,0,0,0
2026-01-06_15-47-21-070,100,11525,236.4977,4.888,3.9702,24,1,90,4.2895,1,0,0,0
2026-01-06_15-47-22-075,100,11524,244.9984,5.1452,3.9845,24,1,93,4.489,1,0,0,0
2026-01-06_15-47-23-091,100,11522,244.9984,5.1452,3.9845,24,1,93,4.489,1,0,0,0
2026-01-06_15-47-24-087,100,11515,246.4963,5.0876,3.9765,24,1,95,4.1898,1,0,0,0
2026-01-06_15-47-25-104,100,11516,253.8194,4.9878,3.9583,24,1,90,4.3893,1,0,0,0
2026-01-06_15-47-26-106,100,11515,241.4238,4.888,3.9788,24,1,87,4.2895,1,0,0,0
2026-01-06_15-47-27-119,100,11539,253.8507,4.9878,3.9789,24,1,96,4.489,1,0,0,0
2026-01-06_15-47-28-131,100,11542,234.0167,4.9878,3.9834,24,1,90,4.489,1,0,0,0
2026-01-06_15-47-29-134,100,11594,241.6536,5.0876,3.9828,24,1,92,4.489,1,0,0,0
