TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-39-51-171,3.3117,11714,10.1913,1.8027,2.3941,4,0,38,0.798,0,0,0,0
2026-01-07_16-39-52-177,1.367,11707,8.0634,2.8842,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-39-53-181,1.041,11707,11.0773,1.7956,2.3941,4,0,40,0.798,0,0,0,0
2026-01-07_16-39-54-198,2.5474,11707,11.0773,1.7956,2.3941,4,0,40,0.798,0,0,0,0
2026-01-07_16-39-55-209,1.6745,11706,9.5146,1.5961,2.3941,2,0,38,1.7956,0,0,0,0
2026-01-07_16-39-56-219,1.7744,11704,10.3581,1.4963,2.3941,2,0,38,4.5888,0,0,0,0
2026-01-07_16-39-57-228,1.4917,11704,7.7849,1.3966,2.3941,1,0,37,1.7956,0,0,0,0
2026-01-07_16-39-58-234,2.7556,11701,6.4444,1.2968,2.3941,3,0,38,0.798,0,0,0,0
2026-01-07_16-39-59-242,1.9319,11703,10.9264,1.0973,2.3941,3,0,38,1.7956,0,0,0,0
2026-01-07_16-40-00-246,3.8159,11706,11.1562,1.0973,2.3941,2,0,38,1.7956,0,0,0,0
2026-01-07_16-40-01-256,3.2615,11697,14.3623,1.8954,2.3941,6,0,39,1.7956,0,0,0,0
2026-01-07_16-40-02-267,3.1242,11706,32.4327,3.035,2.3941,6,0,43,4.9878,0,0,0,0
2026-01-07_16-40-03-276,5.1656,11701,61.783,5.4307,2.3941,3,0,61,4.9878,0,0,0,0
2026-01-07_16-40-04-284,5.2997,11707,56.7932,5.6216,3.5537,4,0,71,4.5888,0,0,0,0
2026-01-07_16-40-05-293,3.2051,11706,58.874,5.5306,3.5493,5,0,74,4.5888,0,0,0,0
2026-01-07_16-40-06-304,5.4651,11699,62.3144,5.5866,3.6945,3,0,65,4.489,0,0,0,0
2026-01-07_16-40-07-316,4.3812,11701,62.3144,5.5866,3.6945,3,0,65,4.489,0,0,0,0
2026-01-07_16-40-08-324,3.9268,11704,57.5342,5.5786,2.3941,3,0,74,4.489,0,0,0,0
2026-01-07_16-40-09-332,7.344,11703,55.9037,5.6302,3.5583,3,0,55,4.5888,0,0,0,0
2026-01-07_16-40-10-343,6.5708,11700,63.5962,5.5009,2.3941,6,0,69,4.5888,0,0,0,0
2026-01-07_16-40-11-355,4.8211,11701,63.5593,5.6609,3.6737,4,0,71,4.9878,0,0,0,0
2026-01-07_16-40-12-364,7.2464,11705,56.1622,5.5999,2.3941,3,0,55,4.5888,0,0,0,0
2026-01-07_16-40-13-375,4.3398,11705,60.3598,5.5964,3.5437,8,0,72,4.5888,0,0,0,0
2026-01-07_16-40-14-382,4.9796,11705,65.0446,5.591,2.645,3,0,79,4.5888,0,0,0,0
2026-01-07_16-40-15-390,5.0933,11706,63.9696,5.5643,2.3941,4,0,69,4.5888,0,0,0,0
2026-01-07_16-40-16-403,3.8788,11699,61.6832,5.6153,3.7633,3,0,73,4.5888,0,0,0,0
2026-01-07_16-40-17-412,4.702,11704,57.3251,5.5805,2.6363,3,0,67,4.5888,0,0,0,0
