TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-22-03-630,4.3482,12020,10.557,2.4997,2.4189,3,0,37,4.489,0,0,0,0
2026-01-07_16-22-04-639,2.1692,12024,8.8968,2.3773,2.8929,4,0,41,4.9878,0,0,0,0
2026-01-07_16-22-05-644,2.9739,12022,14.0667,2.1946,2.3941,4,0,37,2.7932,0,0,0,0
2026-01-07_16-22-06-657,1.9171,12020,8.4175,2.1946,2.3941,4,0,37,1.7956,0,0,0,0
2026-01-07_16-22-07-666,3.9776,12018,10.6985,1.0973,2.3941,3,0,37,2.2944,0,0,0,0
2026-01-07_16-22-08-676,1.8844,12019,10.6985,1.0973,2.3941,3,0,37,2.2944,0,0,0,0
2026-01-07_16-22-09-689,4.3855,12019,7.7554,1.0973,2.3941,3,0,37,1.7956,0,0,0,0
2026-01-07_16-22-10-690,2.7071,12045,8.0192,1.7956,2.3941,3,0,37,1.7956,0,0,0,0
2026-01-07_16-22-11-699,4.4767,12038,24.1294,1.5961,2.3941,3,0,38,4.489,0,0,0,0
2026-01-07_16-22-12-707,2.9097,12038,57.2702,4.0775,2.3941,4,0,38,4.5888,0,0,0,0
2026-01-07_16-22-13-717,2.7835,12036,58.0768,5.6998,3.0909,3,0,62,4.5888,0,0,0,0
2026-01-07_16-22-14-724,4.8947,12047,55.7068,5.7858,2.7388,4,0,61,4.489,0,0,0,0
2026-01-07_16-22-15-733,4.4684,12042,63.033,5.7858,2.3941,4,0,64,4.5888,0,0,0,0
2026-01-07_16-22-16-742,4.2947,12040,59.1674,5.7574,2.9256,4,0,64,4.5888,0,0,0,0
2026-01-07_16-22-17-754,3.4371,12036,59.0528,5.7858,2.3941,4,0,58,4.5888,0,0,0,0
2026-01-07_16-22-18-760,4.5509,12037,58.5854,5.7397,2.3941,5,0,56,4.9878,0,0,0,0
2026-01-07_16-22-19-769,4.1059,12039,60.9603,5.7625,2.4935,4,0,63,4.5888,0,0,0,0
2026-01-07_16-22-20-778,5.7658,12037,60.8059,5.7508,3.1042,4,0,52,4.5888,0,0,0,0
2026-01-07_16-22-21-785,5.5375,12036,60.8059,5.7508,3.1042,4,0,52,4.5888,0,0,0,0
2026-01-07_16-22-22-796,2.5572,12037,59.1276,5.7858,2.3941,5,0,73,4.5888,0,0,0,0
2026-01-07_16-22-23-805,4.8497,12032,59.1374,5.7858,2.6425,4,0,59,4.5888,0,0,0,0
2026-01-07_16-22-24-816,3.9073,12033,58.1503,5.7374,3.2809,4,0,60,4.5888,0,0,0,0
2026-01-07_16-22-25-823,4.1758,12030,60.9164,5.7844,2.5493,4,0,72,4.5888,0,0,0,0
2026-01-07_16-22-26-830,4.7958,12054,61.9168,5.7858,2.3941,4,0,59,4.5888,0,0,0,0
2026-01-07_16-22-27-838,3.9896,12055,58.3234,5.7339,2.3941,6,0,60,4.5888,0,0,0,0
2026-01-07_16-22-28-850,7.1655,12091,63.4819,5.7858,3.0476,4,0,60,4.9878,0,0,0,0
2026-01-07_16-22-29-854,3.4567,12089,56.8863,5.7858,2.4889,7,0,74,4.9878,0,0,0,0
2026-01-07_16-22-30-863,3.7771,12086,58.1864,5.7858,3.9933,5,0,58,4.9878,0,0,0,0
2026-01-07_16-22-31-871,4.6659,12089,67.0529,5.7345,2.5063,4,0,74,4.9878,0,0,0,0
2026-01-07_16-22-32-881,4.6181,12088,61.3484,5.7858,2.3941,5,0,58,4.5888,0,0,0,0
2026-01-07_16-22-33-891,5.6206,12086,61.3484,5.7858,2.3941,5,0,58,4.5888,0,0,0,0
2026-01-07_16-22-34-899,8.3915,12089,61.1514,5.7858,3.339,5,0,54,4.5888,0,0,0,0
