TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-30-28-130,6.8108,12068,50.1841,5.7576,2.7862,3,0,45,4.5888,0,0,0,0
2026-01-07_16-30-29-143,3.9567,12067,58.9034,5.7858,3.6598,6,0,66,4.9878,0,0,0,0
2026-01-07_16-30-30-152,4.7491,12067,63.8588,5.6964,2.4416,5,0,54,4.9878,0,0,0,0
2026-01-07_16-30-31-160,4.6609,12069,60.6744,5.7485,3.3008,5,0,60,4.5888,0,0,0,0
2026-01-07_16-30-32-169,3.4164,12067,58.2354,5.7858,2.5723,4,0,59,4.489,0,0,0,0
2026-01-07_16-30-33-177,6.9349,12068,59.4229,5.7769,2.7056,5,0,62,4.5888,0,0,0,0
2026-01-07_16-30-34-184,5.9311,12068,55.4316,5.7683,2.3941,9,0,57,4.5888,0,0,0,0
2026-01-07_16-30-35-195,2.8227,12068,58.3161,5.7068,3.1091,4,0,60,4.5888,0,0,0,0
2026-01-07_16-30-36-204,3.6504,12069,58.4905,5.7858,3.611,4,0,60,4.5888,0,0,0,0
2026-01-07_16-30-37-216,3.3768,12069,55.6899,5.7428,2.3941,4,0,54,4.5888,0,0,0,0
2026-01-07_16-30-38-223,4.3312,12068,54.8754,5.7282,3.4172,4,0,75,4.5888,0,0,0,0
2026-01-07_16-30-39-232,3.2841,12068,57.6395,5.7816,2.3941,5,0,63,4.5888,0,0,0,0
2026-01-07_16-30-40-240,4.7018,12068,57.6395,5.7816,2.3941,5,0,63,4.5888,0,0,0,0
2026-01-07_16-30-41-252,5.0165,12068,63.3701,5.7858,2.8952,5,0,60,4.489,0,0,0,0
2026-01-07_16-30-42-256,4.6861,12069,64.6291,5.7858,2.3941,5,0,77,4.5888,0,0,0,0
2026-01-07_16-30-43-265,3.9704,12068,63.0972,5.7858,2.3941,4,0,57,4.5888,0,0,0,0
2026-01-07_16-30-44-270,5.2533,12068,53.9906,5.7858,2.3941,4,0,57,4.5888,0,0,0,0
2026-01-07_16-30-45-279,5.3948,12068,54.1857,5.7827,3.2225,5,0,59,4.5888,0,0,0,0
2026-01-07_16-30-46-286,4.3048,12067,61.1748,5.7816,2.7418,5,0,49,4.5888,0,0,0,0
2026-01-07_16-30-47-294,3.3691,12068,60.9805,5.6882,2.3941,4,0,73,4.5888,0,0,0,0
2026-01-07_16-30-48-306,4.5379,12068,59.7105,5.7487,2.3941,3,0,77,4.5888,0,0,0,0
2026-01-07_16-30-49-314,3.7412,12070,61.0477,5.7735,2.3941,4,0,63,4.5888,0,0,0,0
2026-01-07_16-30-50-321,5.7815,12081,60.4731,5.7858,3.2357,4,0,62,4.5888,0,0,0,0
2026-01-07_16-30-51-329,5.258,12082,63.416,5.7492,3.5556,7,0,64,4.9878,0,0,0,0
2026-01-07_16-30-52-338,3.1538,12082,63.416,5.7492,3.5556,7,0,64,4.9878,0,0,0,0
2026-01-07_16-30-53-349,3.0876,12082,60.0305,5.7611,2.6122,5,0,60,4.9878,0,0,0,0
2026-01-07_16-30-54-361,4.4464,12084,57.774,5.7858,2.3941,4,0,56,4.489,0,0,0,0
2026-01-07_16-30-55-370,4.5456,12084,56.864,5.7737,2.9772,3,0,68,4.5888,0,0,0,0
2026-01-07_16-30-56-380,4.562,12084,57.955,5.7703,2.3941,3,0,66,4.5888,0,0,0,0
2026-01-07_16-30-57-392,3.6032,12084,54.5238,5.7858,2.3941,3,0,56,4.5888,0,0,0,0
2026-01-07_16-30-58-398,3.8015,12084,57.0185,5.7858,2.9266,5,0,73,4.9878,0,0,0,0
2026-01-07_16-30-59-408,4.3664,12083,55.9931,5.678,3.1568,5,0,76,4.5888,0,0,0,0
2026-01-07_16-31-00-419,3.0836,12094,65.8872,5.7645,2.9501,4,0,71,4.489,0,0,0,0
2026-01-07_16-31-01-427,5.5772,12090,57.7799,5.7264,4.0096,4,0,50,4.489,0,0,0,0
2026-01-07_16-31-02-434,3.8543,12088,61.0322,5.5931,2.7212,5,0,67,4.489,0,0,0,0
2026-01-07_16-31-03-441,2.4794,12090,58.6007,5.6277,3.1368,4,0,74,4.5888,0,0,0,0
2026-01-07_16-31-04-446,4.6862,12088,61.1478,5.6811,2.9109,4,0,58,4.5888,0,0,0,0
2026-01-07_16-31-05-456,4.391,12086,61.1478,5.6811,2.9109,4,0,58,4.5888,0,0,0,0
2026-01-07_16-31-06-467,5.0102,12088,56.0225,5.5677,2.6303,4,0,56,4.5888,0,0,0,0
2026-01-07_16-31-07-473,4.6374,12084,61.2924,5.723,2.7117,4,0,62,4.5888,0,0,0,0
2026-01-07_16-31-08-481,3.5838,12088,57.5665,5.7249,2.3941,6,0,61,4.489,0,0,0,0
2026-01-07_16-31-09-492,2.0595,12092,61.2787,5.7858,2.7078,3,0,60,4.9878,0,0,0,0
2026-01-07_16-31-10-500,5.861,12089,62.808,5.7478,2.6813,3,0,60,4.5888,0,0,0,0
2026-01-07_16-31-11-503,4.2392,12085,58.0043,5.7266,2.3941,4,0,60,4.9878,0,0,0,0
2026-01-07_16-31-12-512,6.6141,12086,69.0727,5.7858,2.3941,3,0,63,4.5888,0,0,0,0
2026-01-07_16-31-13-523,5.7808,12084,59.6853,5.7858,3.2852,5,0,64,4.9878,0,0,0,0
2026-01-07_16-31-14-534,1.8953,12081,51.8706,5.7858,3.3193,5,0,63,4.489,0,0,0,0
2026-01-07_16-31-15-544,6.7364,12081,58.6061,5.7189,3.2195,4,0,64,4.5888,0,0,0,0
2026-01-07_16-31-16-553,4.321,12081,57.7567,5.7858,2.585,5,0,74,4.5888,0,0,0,0
2026-01-07_16-31-17-563,3.8343,12089,57.7567,5.7858,2.585,5,0,74,4.5888,0,0,0,0
2026-01-07_16-31-18-571,5.5802,12088,61.3653,5.6922,2.5293,4,0,56,4.489,0,0,0,0
2026-01-07_16-31-19-580,2.8261,12083,64.9192,5.7643,2.3941,3,0,54,4.489,0,0,0,0
2026-01-07_16-31-20-588,4.1155,12080,63.1016,5.7199,2.3941,4,0,59,4.489,0,0,0,0
2026-01-07_16-31-21-599,3.9432,12078,56.6035,5.7858,4.489,4,0,72,4.5888,0,0,0,0
2026-01-07_16-31-22-608,5.8541,12079,60.0552,5.7858,2.3941,3,0,53,4.9878,0,0,0,0
2026-01-07_16-31-23-616,4.6453,12079,63.1115,5.7624,2.3941,4,0,74,4.5888,0,0,0,0
2026-01-07_16-31-24-627,3.7614,12078,59.3066,5.6643,3.0248,4,0,63,4.5888,0,0,0,0
2026-01-07_16-31-25-638,3.9523,12078,61.539,5.7858,2.3941,4,0,66,4.489,0,0,0,0
2026-01-07_16-31-26-645,5.0916,12087,58.9843,5.6211,2.3941,5,0,60,4.5888,0,0,0,0
2026-01-07_16-31-27-656,5.8763,12084,60.1335,5.7049,3.0797,4,0,76,4.9878,0,0,0,0
2026-01-07_16-31-28-665,6.8911,12120,76.6508,5.7858,4.3702,8,0,67,4.5888,0,0,0,0
2026-01-07_16-31-29-674,4.4856,12114,76.6508,5.7858,4.3702,8,0,67,4.5888,0,0,0,0
2026-01-07_16-31-30-682,3.5365,12107,58.035,5.7337,3.9079,6,0,46,4.9878,0,0,0,0
2026-01-07_16-31-31-690,6.6406,12195,62.7282,5.7217,3.1413,4,0,56,4.9878,0,0,0,0
2026-01-07_16-31-32-698,8.8593,12190,86.0542,5.7369,2.3941,4,0,66,4.5888,0,0,0,0
2026-01-07_16-31-33-705,8.8897,12174,71.6827,5.7858,4.1334,11,0,78,4.5888,0,0,0,0
2026-01-07_16-31-34-715,6.3419,12222,75.8347,5.6657,4.0025,12,0,76,4.5888,0,0,0,0
2026-01-07_16-31-35-722,6.0452,12166,82.3898,5.556,3.2803,8,0,78,4.5888,0,0,0,0
2026-01-07_16-31-36-730,4.478,12151,61.6891,3.691,3.8003,6,0,59,4.489,0,0,0,0
2026-01-07_16-31-37-737,2.7498,12151,62.2189,5.6033,2.6931,4,0,58,4.5888,0,0,0,0
2026-01-07_16-31-38-747,5.3574,12151,52.6295,5.3463,3.9903,3,0,57,4.5888,0,0,0,0
2026-01-07_16-31-39-757,3.8902,12150,66.1644,5.6334,2.3941,4,0,69,4.5888,0,0,0,0
